Date,Argentina,Bolivia,Brazil,India,Indonesia,Mexico,Philippines,Singapore,Thailand,Venezuela
2002-12-29,,0.101,0.073,0.062,0.101,,,0.059,,
2003-01-05,,0.143,0.098,0.047,0.039,,,0.059,,
2003-01-12,,0.176,0.119,0.051,0.059,0.071,,0.238,,
2003-01-19,,0.173,0.170,0.032,0.039,0.052,,0.175,,
2003-01-26,,0.146,0.138,0.040,0.112,0.048,,0.164,,
2003-02-02,,0.160,0.202,0.038,0.049,0.041,,0.163,,
2003-02-09,,0.225,0.179,0.019,0.060,0.042,,0.150,,
2003-02-16,0.046,0.109,0.239,0.008,0.039,0.049,,0.144,,0.139
2003-02-23,0.048,0.147,0.205,0.022,0.078,0.054,,0.142,,0.137
2003-03-02,0.051,0.119,0.142,0.028,0.048,0.075,,0.129,,0.168
2003-03-09,0.051,0.195,0.280,0.003,0.089,0.096,,0.130,,0.169
2003-03-16,0.046,0.289,0.162,0.006,0.080,0.064,,0.120,,0.157
2003-03-23,0.043,0.227,0.170,0.015,0.054,0.073,,0.115,,0.154
2003-03-30,0.039,0.194,0.176,0.033,0.071,0.076,0.059,0.104,,0.138
2003-04-06,0.036,0.121,0.134,0.008,0.054,0.068,0.059,0.107,,0.136
2003-04-13,0.031,0.101,0.150,0.012,0.088,0.055,0.058,0.101,,0.129
2003-04-20,0.029,0.147,0.104,0.030,0.054,0.056,0.058,0.102,,0.168
2003-04-27,0.034,0.097,0.104,0.004,0.081,0.072,0.061,0.128,,0.263
2003-05-04,0.031,0.069,0.089,0.007,0.068,0.071,0.059,0.132,,0.222
2003-05-11,0.039,0.064,0.067,0.000,0.048,0.060,0.059,0.140,,0.200
2003-05-18,0.039,0.053,0.109,0.019,0.061,0.069,0.057,0.151,,0.202
2003-05-25,0.039,0.064,0.071,0.015,0.062,0.074,0.055,0.175,,0.177
2003-06-01,0.034,0.058,0.080,0.031,0.082,0.079,0.062,0.161,,0.192
2003-06-08,0.039,0.042,0.062,0.050,0.069,0.088,0.059,0.150,,0.186
2003-06-15,0.039,0.047,0.036,0.094,0.055,0.074,0.059,0.163,,0.178
2003-06-22,0.039,0.039,0.073,0.165,0.055,0.056,0.058,0.143,,0.160
2003-06-29,0.031,0.038,0.056,0.170,0.047,0.071,0.058,0.132,,0.172
2003-07-06,0.034,0.029,0.018,0.195,0.100,0.086,0.056,0.120,,0.159
2003-07-13,0.036,0.023,0.015,0.174,0.073,0.072,0.057,0.129,,0.161
2003-07-20,0.029,0.021,0.052,0.187,0.047,0.065,0.064,0.128,,0.163
2003-07-27,0.027,0.018,0.013,0.180,0.049,0.068,0.064,0.123,,0.153
2003-08-03,0.024,0.016,0.044,0.116,0.039,0.095,0.081,0.112,,0.151
2003-08-10,0.022,0.019,0.036,0.101,0.039,0.092,0.091,0.131,,0.150
2003-08-17,0.022,0.022,0.032,0.100,0.039,0.089,0.134,0.127,,0.146
2003-08-24,0.019,0.018,0.034,0.103,0.064,0.063,0.163,0.116,,0.152
2003-08-31,0.019,0.018,0.011,0.135,0.055,0.084,0.152,0.111,,0.159
2003-09-07,0.019,0.019,0.018,0.143,0.047,0.137,0.149,0.109,,0.166
2003-09-14,0.019,0.031,0.034,0.196,0.047,0.165,0.147,0.113,,0.175
