Date,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Paraguay,Peru,Poland,Romania,Russia,South Africa,Spain,Sweden,Switzerland,Ukraine,United States,Uruguay
2002-12-29,,,,,,174,,,,,,,,,,,,,329,,,,,,,,,,
2003-01-05,,,,,,162,,,,,,,,,,,,,315,,,,,,,,,,
2003-01-12,,,,,,174,,,1,,,,,,,,,,314,,,,,,,,,,
2003-01-19,,,,,,162,,,0,,,,,,,,,,267,,,,,,,,,,
2003-01-26,,,,,,131,,,0,,,,,,,,,,241,,,,,,,,,,
2003-02-02,136,,,,,151,,,0,,,,,,,,,,227,,,,,,,,,,
2003-02-09,145,,,,,184,,,0,,,,,,,,,,250,,664,,,,,,,,
2003-02-16,141,,,,,162,,,0,,,,,,,,,,236,,736,,,,,,,,
2003-02-23,135,,,,426,194,,,0,,,,,,,,,,274,,740,,,,,,,,
2003-03-02,134,,,,427,177,,,0,,,,,,,,,,270,,864,,,,,,,,
2003-03-09,136,,,,460,223,,,0,,,,,,,,,,312,,824,,,,,,,,
2003-03-16,134,,,,541,213,,,1,,,,,,,,,,350,,819,,,,,,,,105
2003-03-23,153,,,,549,228,,,1,,,,,,,,,,340,,821,,,,,,,,102
2003-03-30,158,,,,647,262,,,2,,,,,,,,,,301,,753,,,,,,,,104
2003-04-06,187,,,,636,308,,,1,,,,,,,,,,401,,777,,,,,,,,110
2003-04-13,193,,,,580,259,,,1,,,,,,,,,,508,,757,,,,,,,,111
2003-04-20,186,,,,537,287,,,1,,,,,,,,,,527,,726,,,,,,,,106
2003-04-27,209,,,,525,299,,,2,,,,,,,,,,567,,703,,,,,,,,104
2003-05-04,239,,,,493,319,,,4,,,,,,,,,,494,,655,,,,,,,,116
2003-05-11,241,,,,560,336,,,3,,,,,,,,,,456,,657,,,,,,,,122
2003-05-18,232,,,,539,361,,,1,,,,,,,,,,450,,639,,,,,,,,119
2003-05-25,251,,,,547,385,,,1,,,,,,,,,,441,,613,,,,,,,,118
2003-06-01,253,,,,567,403,,,2,,,,,,,,,,497,,584,,,,,,,,128
2003-06-08,261,,,,529,371,,,2,,,,,,,,,,358,,568,,,,,,,,157
2003-06-15,258,,,,521,334,,,3,,,,,,,,,,410,,561,,,,,,,,221
2003-06-22,278,,,,526,279,,,3,,,,,,,,,,427,,553,,,,,,,,308
2003-06-29,348,,,,506,266,,,4,,,,,,,,,,394,,553,,,,,,,,251
2003-07-06,325,,,,480,256,,,4,,,,,,,,,,371,,545,,,,,,,,205
2003-07-13,307,,,,475,272,,,6,,,,,,,,,,441,,541,,,,,,,,199
2003-07-20,239,,,,523,260,,,4,,,,,,,,,,394,,528,,,,,,,,189
2003-07-27,229,,,,520,225,,,2,,,,,,,,,,382,,522,,,,,,,,173
2003-08-03,235,,,,566,223,,,3,,,,,,,,,,388,,510,,,,,,,,158
2003-08-10,225,,,,557,234,,,1,,,,,,,,,,418,,509,,,,,,,,178
2003-08-17,201,,,,595,262,,,0,,,,,,,,,,383,,496,,,,,,,,184
2003-08-24,192,,,,578,264,,,1,,,,,,,,,,468,,502,,,,,,,,212
2003-08-31,224,,,,641,247,,,2,,,,,,,,,,510,,500,,,,,,,,214
2003-09-07,210,,,,625,246,,,2,,,,,,,,,,544,,491,,,,,,,,208
2003-09-14,204,,,,613,228,,,3,,,,,,,,,,630,,490,,,,,,,,182
2003-09-21,213,,,,607,230,,,3,,,,,,,,,,576,,509,,,,,,,,162
2003-09-28,217,,515,50,553,243,,1280,2,25,839,,,683,,,,,582,,539,,,26,,,,902,149
2003-10-05,205,,752,44,475,216,,1339,1,25,1040,,,707,25,,,,450,,642,,,23,,,,952,147
2003-10-12,174,,720,63,448,206,,1451,1,30,1171,,,800,22,,,,472,,706,,,43,,,,1092,136
2003-10-19,178,,727,112,405,252,,1593,1,81,1310,,,858,19,,,,395,,702,,,46,,,,1209,142
2003-10-26,178,,710,54,366,233,,1895,2,82,1210,,9,755,19,,,,385,,736,,,77,,,,1249,157
